"baseline_design","n_processes","mean_length","beta_true","comparator","metric","mean_advantage","standard_error","ci_lower","ci_upper","win_rate"
"common",500,8,0,"Dual-clock model","departure_logloss",0.000264435059162132,2.54815710966153e-05,0.000214491179812766,0.000314378938511498,0.71
"common",500,8,0,"Dual-clock model","departure_brier",0.000110589200241857,1.06890814670163e-05,8.96386005665046e-05,0.000131539799917208,0.716666666666667
"common",500,8,0,"Dual-clock model","full_logloss",0.000264435059162116,2.5481571096615e-05,0.00021449117981275,0.000314378938511481,0.71
"common",500,8,0,"Dual-clock model","full_brier",0.000140719671004959,1.37925479497412e-05,0.000113686277023466,0.000167753064986452,0.72
"unequal",500,8,0,"Dual-clock model","departure_logloss",0.000214877978737285,2.46896001324426e-05,0.000166486362477698,0.000263269594996873,0.703333333333333
"unequal",500,8,0,"Dual-clock model","departure_brier",9.87200179523307e-05,1.13065416237229e-05,7.65591963698337e-05,0.000120880839534828,0.693333333333333
"unequal",500,8,0,"Dual-clock model","full_logloss",0.000214877978737288,2.46896001324421e-05,0.000166486362477702,0.000263269594996875,0.703333333333333
"unequal",500,8,0,"Dual-clock model","full_brier",0.000126808996762782,1.46974699448262e-05,9.80019556709226e-05,0.000155616037854641,0.7
"common",100,12,0,"Dual-clock model","departure_logloss",0.000788227646204763,9.01160660365793e-05,0.000611600156773068,0.000964855135636459,0.676666666666667
"common",100,12,0,"Dual-clock model","departure_brier",0.000315082953279392,3.58259268612516e-05,0.000244864136631339,0.000385301769927445,0.676666666666667
"common",100,12,0,"Dual-clock model","full_logloss",0.000788227646204771,9.01160660365792e-05,0.000611600156773076,0.000964855135636466,0.676666666666667
"common",100,12,0,"Dual-clock model","full_brier",0.000397031887330425,4.56722433675639e-05,0.00030751429033,0.000486549484330851,0.683333333333333
"unequal",100,12,0,"Dual-clock model","departure_logloss",0.000856051489848125,8.01887445447457e-05,0.000698881550540424,0.00101322142915583,0.746666666666667
"unequal",100,12,0,"Dual-clock model","departure_brier",0.000365370043311311,3.52995521240735e-05,0.000296182921148127,0.000434557165474495,0.733333333333333
"unequal",100,12,0,"Dual-clock model","full_logloss",0.000856051489848118,8.0188744544746e-05,0.000698881550540416,0.00101322142915582,0.746666666666667
"unequal",100,12,0,"Dual-clock model","full_brier",0.000461422372223605,4.47069023408514e-05,0.000373796843635536,0.000549047900811674,0.713333333333333
"common",184,12,0,"Dual-clock model","departure_logloss",0.000487709227399209,4.85728209300286e-05,0.000392506498376353,0.000582911956422065,0.743333333333333
"common",184,12,0,"Dual-clock model","departure_brier",0.000200281390479892,2.00143780901802e-05,0.000161053209423139,0.000239509571536645,0.733333333333333
"common",184,12,0,"Dual-clock model","full_logloss",0.000487709227399213,4.85728209300288e-05,0.000392506498376356,0.000582911956422069,0.743333333333333
"common",184,12,0,"Dual-clock model","full_brier",0.000258912317856096,2.55904901716984e-05,0.000208754957119567,0.000309069678592625,0.723333333333333
"unequal",184,12,0,"Dual-clock model","departure_logloss",0.000383614944513946,4.01824110712289e-05,0.000304857418814338,0.000462372470213555,0.72
"unequal",184,12,0,"Dual-clock model","departure_brier",0.000169176601392317,1.77935522649675e-05,0.00013430123895298,0.000204051963831653,0.71
"unequal",184,12,0,"Dual-clock model","full_logloss",0.000383614944513942,4.01824110712293e-05,0.000304857418814333,0.000462372470213552,0.72
"unequal",184,12,0,"Dual-clock model","full_brier",0.000213048655048033,2.31289041763367e-05,0.000167716002862413,0.000258381307233653,0.703333333333333
"common",300,12,0,"Dual-clock model","departure_logloss",0.000235927066793109,2.61485509205503e-05,0.000184675906988831,0.000287178226597388,0.696666666666667
"common",300,12,0,"Dual-clock model","departure_brier",9.83413183497578e-05,1.08594963886651e-05,7.70567054279742e-05,0.000119625931271541,0.69
"common",300,12,0,"Dual-clock model","full_logloss",0.000235927066793104,2.61485509205504e-05,0.000184675906988825,0.000287178226597383,0.696666666666667
"common",300,12,0,"Dual-clock model","full_brier",0.000128642335104733,1.39039860219312e-05,0.000101390522501748,0.000155894147707718,0.7
"unequal",300,12,0,"Dual-clock model","departure_logloss",0.000214317534015522,2.63135917449188e-05,0.000162742894195481,0.000265892173835563,0.683333333333333
"unequal",300,12,0,"Dual-clock model","departure_brier",9.77377743693296e-05,1.19693509456885e-05,7.42778465157801e-05,0.000121197702222879,0.68
"unequal",300,12,0,"Dual-clock model","full_logloss",0.000214317534015514,2.63135917449187e-05,0.000162742894195474,0.000265892173835555,0.683333333333333
"unequal",300,12,0,"Dual-clock model","full_brier",0.000125763354788353,1.53245919052516e-05,9.57271546540602e-05,0.000155799554922647,0.653333333333333
"common",500,12,0,"Dual-clock model","departure_logloss",0.000120389116104761,1.56378758611129e-05,8.97388794169801e-05,0.000151039352792543,0.65
"common",500,12,0,"Dual-clock model","departure_brier",5.04986256996471e-05,6.54195657685637e-06,3.76763908090086e-05,6.33208605902856e-05,0.65
"common",500,12,0,"Dual-clock model","full_logloss",0.000120389116104761,1.56378758611127e-05,8.97388794169805e-05,0.000151039352792542,0.65
"common",500,12,0,"Dual-clock model","full_brier",6.51227734815914e-05,8.41080113791717e-06,4.86376032512738e-05,8.16079437119091e-05,0.643333333333333
"unequal",500,12,0,"Dual-clock model","departure_logloss",0.000141781755855745,1.60559163239581e-05,0.000110312159860787,0.000173251351850703,0.666666666666667
"unequal",500,12,0,"Dual-clock model","departure_brier",6.26025070724055e-05,7.27304181438578e-06,4.83473451162093e-05,7.68576690286016e-05,0.67
"unequal",500,12,0,"Dual-clock model","full_logloss",0.000141781755855751,1.60559163239586e-05,0.000110312159860792,0.00017325135185071,0.666666666666667
"unequal",500,12,0,"Dual-clock model","full_brier",7.89529197630097e-05,9.25969768937564e-06,6.08039122918335e-05,9.7101927234186e-05,0.66
"common",100,20,0,"Dual-clock model","departure_logloss",0.000545847669154861,5.52635228740706e-05,0.000437531164321683,0.00065416417398804,0.733333333333333
"common",100,20,0,"Dual-clock model","departure_brier",0.000224439888369692,2.27639166807372e-05,0.000179822611675447,0.000269057165063937,0.733333333333333
"common",100,20,0,"Dual-clock model","full_logloss",0.00054584766915486,5.52635228740706e-05,0.000437531164321682,0.000654164173988039,0.733333333333333
"common",100,20,0,"Dual-clock model","full_brier",0.000285664600305825,2.9399487677964e-05,0.000228041604457016,0.000343287596154635,0.71
"unequal",100,20,0,"Dual-clock model","departure_logloss",0.000484485229884862,5.12253219743562e-05,0.000384083598815124,0.000584886860954601,0.716666666666667
"unequal",100,20,0,"Dual-clock model","departure_brier",0.000214504120772187,2.29133204163932e-05,0.000169594012756056,0.000259414228788318,0.703333333333333
"unequal",100,20,0,"Dual-clock model","full_logloss",0.000484485229884872,5.12253219743569e-05,0.000384083598815132,0.000584886860954611,0.716666666666667
"unequal",100,20,0,"Dual-clock model","full_brier",0.000275030089583113,2.9407632280095e-05,0.000217391130314127,0.000332669048852099,0.696666666666667
"common",184,20,0,"Dual-clock model","departure_logloss",0.000202392372640081,2.66173315191705e-05,0.000150222402862507,0.000254562342417655,0.636666666666667
"common",184,20,0,"Dual-clock model","departure_brier",8.40233666480799e-05,1.10568143737834e-05,6.23520104754643e-05,0.000105694722820695,0.65
"common",184,20,0,"Dual-clock model","full_logloss",0.00020239237264008,2.66173315191705e-05,0.000150222402862506,0.000254562342417655,0.636666666666667
"common",184,20,0,"Dual-clock model","full_brier",0.000106001566148471,1.42335071157447e-05,7.81038922016111e-05,0.00013389924009533,0.63
"unequal",184,20,0,"Dual-clock model","departure_logloss",0.00027569927359287,2.89889905594157e-05,0.000218880852096415,0.000332517695089325,0.76
"unequal",184,20,0,"Dual-clock model","departure_brier",0.000123632715390284,1.31280575338907e-05,9.79017226238584e-05,0.00014936370815671,0.76
"unequal",184,20,0,"Dual-clock model","full_logloss",0.000275699273592869,2.89889905594159e-05,0.000218880852096414,0.000332517695089324,0.76
"unequal",184,20,0,"Dual-clock model","full_brier",0.00015693225659321,1.67601065834247e-05,0.000124082447689698,0.000189782065496722,0.77
"common",300,20,0,"Dual-clock model","departure_logloss",0.000144705776757908,1.57301689643274e-05,0.000113874645587826,0.00017553690792799,0.693333333333333
"common",300,20,0,"Dual-clock model","departure_brier",6.0426663001797e-05,6.59495156309925e-06,4.75005579381225e-05,7.33527680654715e-05,0.693333333333333
"common",300,20,0,"Dual-clock model","full_logloss",0.000144705776757909,1.57301689643273e-05,0.000113874645587827,0.00017553690792799,0.693333333333333
"common",300,20,0,"Dual-clock model","full_brier",7.76806681350225e-05,8.48212807401832e-06,6.10556971099466e-05,9.43056391600984e-05,0.703333333333333
"unequal",300,20,0,"Dual-clock model","departure_logloss",0.000140698768387162,1.3364181074695e-05,0.00011450497348076,0.000166892563293564,0.763333333333333
"unequal",300,20,0,"Dual-clock model","departure_brier",6.41663592845227e-05,6.23152565488384e-06,5.19525690009504e-05,7.6380149568095e-05,0.74
