"baseline_design","n_processes","mean_length","beta_true","model","successful_replications","departure_logloss_mean","departure_logloss_sd","departure_brier_mean","departure_brier_sd","calibration_intercept_mean","calibration_slope_mean","full_logloss_mean","full_brier_mean"
"common",184,12,0.25,"Stage-Spell SPAOM",300,0.633495590728534,0.00788652949504431,0.220797964677257,0.00373726652891408,0.146286615633895,0.783449677357099,1.56795999233222,0.765794437287057
"common",184,12,0.52,"Dual-clock model",300,0.641586252643821,0.00723501511309772,0.224769906214985,0.00342984931511841,0.0275143248715083,0.943938005580416,1.52389981101671,0.744051563929223
"common",184,12,0.52,"Global alpha-beta model",300,0.660427224710675,0.00706363102875138,0.233749525137206,0.00339911491595599,0.385770159486008,0.278650381964048,1.54274078308357,0.755506971356195
"common",184,12,0.52,"Origin-specific homogeneous",300,0.660720616319556,0.00704990931876873,0.233892003557927,0.00340948355948956,0.525497950289599,0.0221305245622285,1.54303417469245,0.755684394776895
"common",184,12,0.52,"Spline spell-age model",300,0.641945093183102,0.00712484300982953,0.224947784492592,0.00338156515132605,0.0337745391623582,0.931065508927031,1.524258651556,0.744273843319872
"common",184,12,0.52,"Stage-Spell SPAOM",300,0.641342558203628,0.00717647384760468,0.224663249921646,0.00340849050233098,0.0217069387147746,0.954609658690392,1.52365611657652,0.743912336023298
"common",184,12,0.8,"Dual-clock model",300,0.6304552963782,0.00801499688540257,0.219525783273378,0.00374582772418236,-0.00414568581574585,0.990318545425411,1.43943634482173,0.699033838658002
"common",184,12,0.8,"Global alpha-beta model",300,0.680685568981746,0.00597371129440059,0.243775290632182,0.0028694985393806,0.115349923744288,0.602501230610349,1.48966661742528,0.729972471572896
"common",184,12,0.8,"Origin-specific homogeneous",300,0.684020400613361,0.00587462723119379,0.245387675538868,0.0028449668861277,0.32611438477954,-0.0319045638443042,1.49300144905689,0.732040259268291
"common",184,12,0.8,"Spline spell-age model",300,0.630632414519236,0.0081543992207454,0.219597015591231,0.00380933293384775,-0.00282282398463296,0.986412633211286,1.43961346296277,0.699125830668994
"common",184,12,0.8,"Stage-Spell SPAOM",300,0.630185836072318,0.0080400558421112,0.219408598453649,0.00375908968597395,-0.00561224092776532,0.994622736073769,1.43916688451585,0.69888364484519
"common",184,20,0,"Dual-clock model",300,0.618216396550532,0.00625290605257895,0.213421590567496,0.00294372531738107,0.784674622652645,0.0352075188563777,1.58352218506476,0.773307243882912
"common",184,20,0,"Global alpha-beta model",300,0.618235924975777,0.00625807587397281,0.213430560782951,0.00294601724307234,0.798054623483178,0.0187200665396713,1.58354171349,0.773318481960867
"common",184,20,0,"Origin-specific homogeneous",300,0.617987640887459,0.00616920284792521,0.213326398456177,0.00291170750578171,0.784512915214898,0.0360724288880851,1.58329342940169,0.77318738201256
"common",184,20,0,"Spline spell-age model",300,0.618416075323511,0.0062352895927595,0.21349366940807,0.00293221952155345,0.794730443631008,0.0229582454114701,1.58372186383774,0.773402403988418
"common",184,20,0,"Stage-Spell SPAOM",300,0.618014004177892,0.00616374169696351,0.213337567200848,0.00290894953144145,0.780438493040272,0.0405112985918079,1.58331979269212,0.773201242316764
"common",184,20,0.25,"Dual-clock model",300,0.633824989149331,0.00631939882612303,0.220983417237995,0.00299899051042051,0.100723532245592,0.850132059075951,1.56296263078069,0.764164221142948
"common",184,20,0.25,"Global alpha-beta model",300,0.637743713317821,0.00637267696634359,0.222762275379534,0.00304103256477241,0.614427142192426,0.113007442745911,1.56688135494918,0.766435999561891
"common",184,20,0.25,"Origin-specific homogeneous",300,0.637595267729315,0.0063539164076807,0.222698296653722,0.00303542735354762,0.65926138079762,0.0467956118596409,1.56673290936068,0.766356938421153
"common",184,20,0.25,"Spline spell-age model",300,0.634081539007432,0.00641648151701869,0.221101290638092,0.00303826579912446,0.133614767079085,0.802430818089224,1.56321918063879,0.764317311335513
"common",184,20,0.25,"Stage-Spell SPAOM",300,0.633730994735679,0.0063140326051564,0.220943539659106,0.00299677755956302,0.0879796048562356,0.868588696809939,1.56286863636704,0.764114720178847
"common",184,20,0.52,"Dual-clock model",300,0.641465872808726,0.00564989247421089,0.224746727230792,0.00267453777235743,0.0119393386790681,0.971183621708508,1.51473152059567,0.739648603256946
"common",184,20,0.52,"Global alpha-beta model",300,0.662520033193612,0.0058915045770231,0.234806405933029,0.00284459182274394,0.355821228588157,0.308387968014255,1.53578568098056,0.752497177181364
"common",184,20,0.52,"Origin-specific homogeneous",300,0.662814631376626,0.00582630316943878,0.234945764586109,0.00282384517721356,0.505973562636535,0.0188354611635172,1.53608027916357,0.752675519640894
"common",184,20,0.52,"Spline spell-age model",300,0.641676632656392,0.00565112792517704,0.224850747530693,0.00267563253507997,0.0142823729645764,0.965710628507677,1.51494228044334,0.739779670410108
"common",184,20,0.52,"Stage-Spell SPAOM",300,0.64134586186939,0.00564423828685809,0.224693660089704,0.0026728280354537,0.0093798254737311,0.976332885726051,1.51461150965634,0.739580144353757
"common",184,20,0.8,"Dual-clock model",300,0.6252419590019,0.00681512031059674,0.217256392489855,0.00313553155955918,0.00367428232535671,0.990047305840005,1.40980571814069,0.684197332724013
