"baseline_design","n_processes","mean_length","beta_true","successful_replications","mean_beta_hat","bias_beta","rmse_beta","coverage_beta","boundary_rate","mean_training_transitions"
"unequal",100,8,0.52,300,0.498051638561637,-0.0219483614383633,0.112779101046193,0.933333333333333,0,799.926666666667
"unequal",100,8,0.8,300,0.774807957134324,-0.0251920428656762,0.11053971935222,0.943333333333333,0,801.023333333333
"unequal",100,12,0,300,0.0287362553254083,0.0287362553254083,0.0555374532074252,0.986666666666667,0.58,1201.19
"unequal",100,12,0.25,300,0.236863897352903,-0.0131361026470972,0.0817612320860648,0.936666666666667,0,1200.75666666667
"unequal",100,12,0.52,300,0.506304801206008,-0.0136951987939922,0.0785237281209079,0.95,0,1198.53666666667
"unequal",100,12,0.8,300,0.787649070418031,-0.0123509295819694,0.0773065022115606,0.956666666666667,0,1198.22666666667
"unequal",100,20,0,300,0.0232451433687005,0.0232451433687005,0.0433562984877554,0.973333333333333,0.543333333333333,2001.37
"unequal",100,20,0.25,300,0.239389890366303,-0.0106101096336968,0.0642338517312299,0.936666666666667,0,1996.47
"unequal",100,20,0.52,300,0.510990498165651,-0.00900950183434858,0.0576980758854097,0.96,0,2000.77666666667
"unequal",100,20,0.8,300,0.790247524924409,-0.00975247507559133,0.0549845436388855,0.95,0,1998.99333333333
"unequal",184,8,0,300,0.0247865913631912,0.0247865913631912,0.0467095838475514,1,0.606666666666667,1472.71
"unequal",184,8,0.25,300,0.237105783993302,-0.0128942160066984,0.078294311503037,0.96,0,1470.86666666667
"unequal",184,8,0.52,300,0.505756523791416,-0.0142434762085835,0.0733247913692862,0.956666666666667,0,1468.6
"unequal",184,8,0.8,300,0.797880895453782,-0.00211910454621834,0.0792912965198578,0.953333333333333,0,1472.78
"unequal",184,12,0,300,0.024416035935587,0.024416035935587,0.0446018571694434,0.976666666666667,0.533333333333333,2206.76666666667
"unequal",184,12,0.25,300,0.237314566932535,-0.0126854330674647,0.057882983635211,0.956666666666667,0,2202.44666666667
"unequal",184,12,0.52,300,0.507322692157605,-0.0126773078423947,0.060104360102003,0.95,0,2207.22666666667
"unequal",184,12,0.8,300,0.799056671244956,-0.00094332875504447,0.0573757142688141,0.95,0,2209.67333333333
"unequal",184,20,0,300,0.0171347454698787,0.0171347454698787,0.031928899645808,0.973333333333333,0.533333333333333,3674.24333333333
"unequal",184,20,0.25,300,0.241920227568794,-0.00807977243120631,0.0422058583028735,0.97,0,3678.8
"unequal",184,20,0.52,300,0.514617629261871,-0.00538237073812887,0.0417154668524071,0.95,0,3676.64666666667
"unequal",184,20,0.8,300,0.796334907149236,-0.00366509285076373,0.0421935639033797,0.953333333333333,0,3681.29
"unequal",300,8,0,300,0.0238145928781101,0.0238145928781101,0.0438937945809893,0.973333333333333,0.516666666666667,2397.27333333333
"unequal",300,8,0.25,300,0.243281449879541,-0.00671855012045896,0.0611238515657788,0.956666666666667,0,2398.76333333333
