"baseline_design","n_processes","mean_length","beta_true","model","successful_replications","departure_logloss_mean","departure_logloss_sd","departure_brier_mean","departure_brier_sd","calibration_intercept_mean","calibration_slope_mean","full_logloss_mean","full_brier_mean"
"common",500,8,0.8,"Stage-Spell SPAOM",300,0.631965828043155,0.00558216427957444,0.220222885882769,0.00262606763497851,-0.000240052965468435,0.996778720118422,1.46177681685488,0.711295678266659
"common",500,12,0,"Origin-specific homogeneous",300,0.617578217860515,0.00479304443692267,0.213151495182184,0.00226724303349235,0.78713763739811,0.0329668087141594,1.58197558357027,0.772698606904954
"common",500,12,0.25,"Stage-Spell SPAOM",300,0.632501155767706,0.00461672537096992,0.220369283916887,0.00220189361167909,0.0555449554793328,0.918807343758001,1.56327618692792,0.764374473597516
"common",500,12,0.52,"Stage-Spell SPAOM",300,0.640394260406782,0.00437468782731918,0.224248535343602,0.00207732603953426,0.0111524023091784,0.976174837569416,1.51867388177561,0.742128275876787
"common",500,12,0.8,"Stage-Spell SPAOM",300,0.629750390764079,0.00531832350738419,0.21925572086711,0.00248055375958761,0.00181343999023054,0.991076339124041,1.43676121077953,0.698727925315326
"common",500,20,0,"Origin-specific homogeneous",300,0.617220210083848,0.00410306121791049,0.212993681777404,0.00194318307133939,0.808636778553073,0.00542809911593254,1.58148418033323,0.772528437792435
"common",500,20,0.25,"Stage-Spell SPAOM",300,0.6332652481112,0.00395386933854133,0.220748099847254,0.00188431429062646,0.0318910226727381,0.950265420757174,1.5603639951763,0.763347248183787
"common",500,20,0.52,"Stage-Spell SPAOM",300,0.640291497047531,0.00346800022741859,0.224212628202823,0.00165048488174687,0.00318869462345792,0.992017839809449,1.51137323115267,0.738626947235038
"common",500,20,0.8,"Stage-Spell SPAOM",300,0.624567360399127,0.00441358885601551,0.216962466082298,0.00202966946148802,-0.000672172469568971,0.995004357970765,1.40608831745402,0.682851798433439
"unequal",100,8,0,"Origin-specific homogeneous",300,0.655864879354106,0.0222697604374694,0.229911521647764,0.00494740666856594,0.0963587038608161,0.808580074734658,1.54286400795067,0.750987616943958
"unequal",100,8,0.25,"Stage-Spell SPAOM",300,0.663094057556434,0.0165611213002107,0.234329365628889,0.00469992263508543,0.0565585415597756,0.84794647449374,1.50971170348677,0.735245388460374
"unequal",100,8,0.52,"Stage-Spell SPAOM",300,0.661810798160895,0.0194911072990609,0.233051460800162,0.0048099520394883,0.0125719439469877,0.878682605935164,1.45238532521551,0.703783708843095
"unequal",100,8,0.8,"Stage-Spell SPAOM",300,0.642658791113347,0.0274898164824092,0.223023256766753,0.00571708765070495,-0.0187995911457085,0.918790991996022,1.36348074846621,0.655152158259923
"unequal",100,12,0,"Origin-specific homogeneous",300,0.650977525108053,0.0109986315257039,0.229440114567692,0.00415274630104424,0.0438685587293001,0.887478599119872,1.53542411869484,0.749858502913729
"unequal",100,12,0.25,"Stage-Spell SPAOM",300,0.660929229688381,0.0120353267664613,0.233884745379505,0.00345678869330799,0.0392595258845258,0.883646354075189,1.50228821652113,0.733497195178985
