"baseline_design","n_processes","mean_length","beta_true","origin_stage","mean_eta_hat","eta_true","bias_eta","rmse_eta","coverage_eta"
"common",184,12,0.52,"Substantive Partial",1.1861191372298,1.17991491149056,0.0062042257392423,0.0695075016150318,0.963333333333333
"common",184,12,0.8,"Ceasefire",1.18153283133697,1.17991491149056,0.00161791984640754,0.0777678468663403,0.96
"common",184,12,0.8,"Implementation",1.17715711473769,1.17991491149056,-0.00275779675287427,0.0844783717383337,0.953333333333333
"common",184,12,0.8,"Pre-negotiation",1.18365471587613,1.17991491149056,0.00373980438556486,0.0717385484309764,0.95
"common",184,12,0.8,"Renegotiation/Other",1.21094577680835,1.17991491149056,0.0310308653177915,0.196502443342161,0.95
"common",184,12,0.8,"Substantive Comprehensive",1.19125019788426,1.17991491149056,0.0113352863937003,0.134377395144401,0.946666666666667
"common",184,12,0.8,"Substantive Partial",1.18042898952778,1.17991491149056,0.000514078037214181,0.0774725503047607,0.943333333333333
"common",184,20,0,"Ceasefire",1.18494224052408,1.17991491149056,0.0050273290335151,0.0573287468603816,0.95
"common",184,20,0,"Implementation",1.18513143043363,1.17991491149056,0.00521651894306623,0.058670821513816,0.943333333333333
"common",184,20,0,"Pre-negotiation",1.190523265377,1.17991491149056,0.0106083538864373,0.0512283232413105,0.946666666666667
"common",184,20,0,"Renegotiation/Other",1.20864806923095,1.17991491149056,0.0287331577403889,0.137688847452612,0.946666666666667
"common",184,20,0,"Substantive Comprehensive",1.19064764655758,1.17991491149056,0.0107327350670153,0.0917320281456552,0.94
"common",184,20,0,"Substantive Partial",1.19197858899451,1.17991491149056,0.01206367750395,0.0515669936384833,0.953333333333333
"common",184,20,0.25,"Ceasefire",1.18068434679049,1.17991491149056,0.000769435299930206,0.0616417100112747,0.936666666666667
"common",184,20,0.25,"Implementation",1.18428110597043,1.17991491149056,0.00436619447986725,0.0603600744056851,0.946666666666667
"common",184,20,0.25,"Pre-negotiation",1.18032932200602,1.17991491149056,0.000414410515454499,0.0545045496716805,0.953333333333333
"common",184,20,0.25,"Renegotiation/Other",1.19626335081985,1.17991491149056,0.0163484393292867,0.138998824182848,0.923333333333333
"common",184,20,0.25,"Substantive Comprehensive",1.1936681986107,1.17991491149056,0.013753287120134,0.0990755392851237,0.94
"common",184,20,0.25,"Substantive Partial",1.18386991475634,1.17991491149056,0.00395500326577925,0.0526095000912471,0.963333333333333
"common",184,20,0.52,"Ceasefire",1.18776198392949,1.17991491149056,0.00784707243892751,0.0659125682252488,0.93
"common",184,20,0.52,"Implementation",1.17904487809134,1.17991491149056,-0.000870033399225364,0.0601544224056915,0.956666666666667
"common",184,20,0.52,"Pre-negotiation",1.17786437493325,1.17991491149056,-0.00205053655731502,0.0564317498590115,0.926666666666667
"common",184,20,0.52,"Renegotiation/Other",1.19390309334103,1.17991491149056,0.0139881818504689,0.137236660670765,0.956666666666667
"common",184,20,0.52,"Substantive Comprehensive",1.188331300533,1.17991491149056,0.00841638904243622,0.105217759481338,0.936666666666667
"common",184,20,0.52,"Substantive Partial",1.18182458009813,1.17991491149056,0.00190966860756563,0.0582749935280001,0.946666666666667
"common",184,20,0.8,"Ceasefire",1.17379052129569,1.17991491149056,-0.00612439019487227,0.0633647371432702,0.946666666666667
"common",184,20,0.8,"Implementation",1.18170253362399,1.17991491149056,0.00178762213342868,0.0627955265176228,0.953333333333333
"common",184,20,0.8,"Pre-negotiation",1.17872810474948,1.17991491149056,-0.00118680674108036,0.0537635462455816,0.963333333333333
"common",184,20,0.8,"Renegotiation/Other",1.1886391617485,1.17991491149056,0.00872425025793688,0.152412199693726,0.943333333333333
"common",184,20,0.8,"Substantive Comprehensive",1.18091666259765,1.17991491149056,0.00100175110708481,0.101582174127084,0.94
"common",184,20,0.8,"Substantive Partial",1.17726436473064,1.17991491149056,-0.00265054675992112,0.0571507699368939,0.956666666666667
"common",300,8,0,"Ceasefire",1.18219804146149,1.17991491149056,0.00228312997092601,0.0690224491566719,0.956666666666667
"common",300,8,0,"Implementation",1.18822061485726,1.17991491149056,0.00830570336670199,0.0694001263072315,0.956666666666667
"common",300,8,0,"Pre-negotiation",1.19126468580424,1.17991491149056,0.01134977431368,0.0617591337876102,0.946666666666667
"common",300,8,0,"Renegotiation/Other",1.20764693140703,1.17991491149056,0.0277320199164688,0.166985745869493,0.953333333333333
"common",300,8,0,"Substantive Comprehensive",1.19021104929588,1.17991491149056,0.010296137805318,0.117195188032056,0.956666666666667
"common",300,8,0,"Substantive Partial",1.18841565305427,1.17991491149056,0.00850074156370802,0.0611662736447166,0.96
"common",300,8,0.25,"Ceasefire",1.1780321243728,1.17991491149056,-0.00188278711776256,0.072424265176347,0.936666666666667
"common",300,8,0.25,"Implementation",1.18030463142122,1.17991491149056,0.000389719930655968,0.0812691582378132,0.923333333333333
"common",300,8,0.25,"Pre-negotiation",1.18103412169221,1.17991491149056,0.00111921020165023,0.0617135393328149,0.96
"common",300,8,0.25,"Renegotiation/Other",1.19191602098775,1.17991491149056,0.0120011094971834,0.175792504633788,0.953333333333333
"common",300,8,0.25,"Substantive Comprehensive",1.19680820854687,1.17991491149056,0.016893297056305,0.125001186454715,0.946666666666667
"common",300,8,0.25,"Substantive Partial",1.18291787518008,1.17991491149056,0.00300296368952116,0.0697459645720963,0.943333333333333
"common",300,8,0.52,"Ceasefire",1.18237482073582,1.17991491149056,0.00245990924525634,0.0746987578273836,0.946666666666667
"common",300,8,0.52,"Implementation",1.18477378360737,1.17991491149056,0.00485887211681287,0.0749836174688692,0.963333333333333
"common",300,8,0.52,"Pre-negotiation",1.18384096511003,1.17991491149056,0.003926053619468,0.061905441254595,0.966666666666667
"common",300,8,0.52,"Renegotiation/Other",1.22108216295618,1.17991491149056,0.0411672514656231,0.186487419121698,0.943333333333333
"common",300,8,0.52,"Substantive Comprehensive",1.18682720613136,1.17991491149056,0.00691229464080139,0.115266849818159,0.963333333333333
"common",300,8,0.52,"Substantive Partial",1.18012883174943,1.17991491149056,0.000213920258865897,0.0622720323232099,0.956666666666667
"common",300,8,0.8,"Ceasefire",1.17522666172464,1.17991491149056,-0.00468824976591842,0.0771284131012192,0.94
"common",300,8,0.8,"Implementation",1.18145818715061,1.17991491149056,0.00154327566004481,0.0823723749541839,0.946666666666667
"common",300,8,0.8,"Pre-negotiation",1.18380121141453,1.17991491149056,0.00388629992396879,0.0713411242514535,0.923333333333333
"common",300,8,0.8,"Renegotiation/Other",1.19758231543199,1.17991491149056,0.0176674039414252,0.188556217177131,0.953333333333333
"common",300,8,0.8,"Substantive Comprehensive",1.18599374010028,1.17991491149056,0.00607882860971529,0.129323557773455,0.943333333333333
"common",300,8,0.8,"Substantive Partial",1.18406084968247,1.17991491149056,0.00414593819190838,0.0732767753421121,0.94
"common",300,12,0,"Ceasefire",1.19023438157497,1.17991491149056,0.0103194700844061,0.0581711063484205,0.94
"common",300,12,0,"Implementation",1.19125338499362,1.17991491149056,0.0113384735030575,0.0557862093075217,0.976666666666667
"common",300,12,0,"Pre-negotiation",1.1871061748283,1.17991491149056,0.00719126333774088,0.0519555639040967,0.936666666666667
"common",300,12,0,"Renegotiation/Other",1.20020251362491,1.17991491149056,0.0202876021343481,0.140538160569812,0.946666666666667
"common",300,12,0,"Substantive Comprehensive",1.18914604116437,1.17991491149056,0.00923112967380429,0.0905992412025092,0.96
"common",300,12,0,"Substantive Partial",1.19040403360338,1.17991491149056,0.0104891221128189,0.0522054145750396,0.94
"common",300,12,0.25,"Ceasefire",1.18365194017233,1.17991491149056,0.00373702868176387,0.0571447974622886,0.943333333333333
"common",300,12,0.25,"Implementation",1.18247128901647,1.17991491149056,0.00255637752590767,0.0650110953053337,0.926666666666667
"common",300,12,0.25,"Pre-negotiation",1.18138383831365,1.17991491149056,0.00146892682308503,0.05018715837987,0.963333333333333
"common",300,12,0.25,"Renegotiation/Other",1.20092982211502,1.17991491149056,0.0210149106244573,0.151598756090313,0.923333333333333
"common",300,12,0.25,"Substantive Comprehensive",1.18264592926753,1.17991491149056,0.00273101777696902,0.0937191701206361,0.96
"common",300,12,0.25,"Substantive Partial",1.18134046048291,1.17991491149056,0.00142554899234411,0.0539392002241287,0.946666666666667
"common",300,12,0.52,"Ceasefire",1.18160707902576,1.17991491149056,0.00169216753520231,0.0650101276174205,0.936666666666667
"common",300,12,0.52,"Implementation",1.17725800545995,1.17991491149056,-0.00265690603060696,0.062634249852093,0.95
